Loaded plugins: fastestmirror
Determining fastest mirrors
Installed Packages
ElectricFence.x86_64                2.2.2-39.el7           @base                
GConf2.x86_64                       3.2.6-8.el7            @base                
GraphicsMagick.x86_64               1.3.24-1.el7           @epel7               
GraphicsMagick-c++.x86_64           1.3.24-1.el7           @epel7               
ImageMagick.x86_64                  6.7.8.9-15.el7_2       @centos7-x86_64-update
NetworkManager.x86_64               1:1.0.0-14.git20150121.b4ea599c.el7
                                                           @anaconda            
NetworkManager-libnm.x86_64         1:1.0.0-14.git20150121.b4ea599c.el7
                                                           @anaconda            
NetworkManager-team.x86_64          1:1.0.0-14.git20150121.b4ea599c.el7
                                                           @anaconda            
NetworkManager-tui.x86_64           1:1.0.0-14.git20150121.b4ea599c.el7
                                                           @anaconda            
OpenEXR-libs.x86_64                 1.7.1-7.el7            @base                
PyQt4.x86_64                        4.10.1-13.el7          @base                
PyYAML.x86_64                       3.10-11.el7            @base                
R.x86_64                            3.3.1-2.el7            @epel7               
R-core.x86_64                       3.3.1-2.el7            @epel7               
R-core-devel.x86_64                 3.3.1-2.el7            @epel7               
R-devel.x86_64                      3.3.1-2.el7            @epel7               
R-java.x86_64                       3.3.1-2.el7            @epel7               
R-java-devel.x86_64                 3.3.1-2.el7            @epel7               
SDL.x86_64                          1.2.15-14.el7          @base                
acl.x86_64                          2.2.51-12.el7          @anaconda            
adwaita-cursor-theme.noarch         3.14.1-1.el7           @base                
adwaita-icon-theme.noarch           3.14.1-1.el7           @base                
agg.x86_64                          2.5-18.el7             @base                
aic94xx-firmware.noarch             30-6.el7               @anaconda            
alsa-firmware.noarch                1.0.28-2.el7           @anaconda            
alsa-lib.x86_64                     1.0.28-2.el7           @anaconda            
alsa-tools-firmware.x86_64          1.0.27-4.el7           @anaconda            
ant.noarch                          1.9.2-9.el7            @base                
apr.x86_64                          1.4.8-3.el7            @base                
apr-util.x86_64                     1.5.2-6.el7            @base                
arpack.x86_64                       3.1.3-2.el7            @epel7               
at.x86_64                           3.1.13-20.el7          @base                
at-spi2-atk.x86_64                  2.8.1-4.el7            @base                
at-spi2-core.x86_64                 2.8.0-6.el7            @base                
atk.x86_64                          2.14.0-1.el7           @base                
atlas.x86_64                        3.10.1-10.el7          @base                
audit.x86_64                        2.4.1-5.el7            @anaconda            
audit-libs.x86_64                   2.4.1-5.el7            @anaconda            
audit-libs-python.x86_64            2.4.1-5.el7            @base                
augeas-libs.x86_64                  1.4.0-2.el7            @base                
authconfig.x86_64                   6.2.8-9.el7            @anaconda            
autoconf.noarch                     2.69-11.el7            @base                
autogen-libopts.x86_64              5.18-5.el7             @base                
automake.noarch                     1.13.4-3.el7           @base                
avahi-autoipd.x86_64                0.6.31-15.el7_2.1      @centos7-x86_64-update
avahi-glib.x86_64                   0.6.31-15.el7_2.1      @centos7-x86_64-update
avahi-libs.x86_64                   0.6.31-15.el7_2.1      @centos7-x86_64-update
babel.noarch                        0.9.6-8.el7            @base                
basesystem.noarch                   10.0-7.el7.centos      @anaconda            
bash.x86_64                         4.2.46-20.el7_2        @centos7-x86_64-update
bc.x86_64                           1.06.95-13.el7         @base                
bind-libs.x86_64                    32:9.9.4-29.el7_2.4    @updates             
bind-libs-lite.x86_64               32:9.9.4-29.el7_2.4    @updates             
